type,area,status,decision,authoritative_references,current_aria2_next_surface,required_behavior_or_prune_reason,user_visible_impact,checkpoint
parity,Peer download request flow,partial,port,"aMule DownloadClient and ClientTCPSocket; eMule DownloadClient and ListenSocket; MLDonkey donkeyClient and donkeyProtoClient","Ed2kCommand peer path now sends extended request filename payloads when advertising extended request version 2, and accepts extended incoming file requests in shared-peer paths.","Continue implementing file status, hashset, queue rank, accept upload, start upload, part requests, cancel, out-of-parts, no-file, disconnect, failure scoring, reconnect backoff, multipacket variants, and file identifiers in the same order and conditions as reference behavior.","Peer sessions should no longer be rejected specifically for sending a short request filename packet after advertising extended requests.",RF5
parity,Part transfer and integrity,pending,adapt,"aMule PartFile and KnownFile; eMule PartFile, KnownFile, FileIdentifier; protocol-docs corruption handling","Ed2kPeerTransfer, ed2k_hash.*, ed2k_aich.*, ed2k_compression.*","Verify normal parts, 64-bit parts, compressed parts, MD4 piece/root/final hashes, AICH root/tree/recovery data, corrupt-piece rejection, and resume safety through existing disk paths.","Downloaded data is correct and recoverable after restart.",RF6
parity,Source policy,pending,adapt,"aMule PartFile source management; eMule DownloadClient and DeadSourceList; MLDonkey source handling","ed2k_policy.* and PeerState","Rank and retry sources from server, OBFU, inline link, Source Exchange, Kad, resume, and callback paths with queue state, availability, dead-source backoff, duplicate rejection, and endgame behavior.","Downloads use available sources efficiently without loops or unsafe duplicate writes.",RF7
parity,Source Exchange,pending,port,"aMule KnownFile and PartFile Source Exchange; eMule KnownFile and PartFile Source Exchange; Wireshark eMule source packets","ed2k_peer.* SourceExchangeEntry and merge policy","Support SX1, SX2, SX2 v4, user hash, server endpoint, crypt options, direct callback metadata where supported, and safe merge filtering.","Peers can discover additional sources beyond servers and inline links.",RF8
parity,Kad,pending,adapt,"aMule kademlia; eMule kademlia; MLDonkey donkeyProtoKademlia and donkeyNodesDat; protocol-docs Kademlia paper and aMule Kad docs","Ed2kKadCommand, Ed2kKadState, ed2k_kad.*","Implement nodes.dat loading, bootstrap, hello, routing table, traversal, source search, source publish, keyword search, firewalled checks, refresh, and durable state. Prune obsolete Kad1 or unsupported UI behavior with evidence.","Kad discovery works without a second event loop.",RF9
parity,Search,pending,adapt,"aMule search list; eMule SearchList; MLDonkey search; existing aria2-next RPC patterns","ed2k_search.* and RPC methods","Expose server and Kad search through stable CLI/RPC fields and generated ED2K links that can create normal downloads.","Motrix Next can search and start ED2K tasks reliably.",RF11
parity,Sharing and upload,pending,adapt,"aMule SharedFileList, UploadQueue, UploadClient, ClientCredits; eMule SharedFileList, UploadQueue, UploadClient; MLDonkey donkeyShare","Ed2kSharedStore, Ed2kSharedResponder, Ed2kUploadQueue","Completed and imported files must be indexed, hashable, shareable, and uploadable with queue ranks, slots, limits, stats, and credits integrated into aria2-next.","aria2-next behaves as a cooperative ED2K peer where supported.",RF10
parity,Persistence,pending,adapt,"server.met, nodes.dat, aMule/eMule known file metadata, MLDonkey state, aria2-next session format","Session serializer and hidden ED2K state options","Persist active metadata, piece/hashset/AICH state, sources, server state, Kad routing, shared files, and peer credits in documented restart-safe formats.","ED2K tasks survive restart without corrupting normal aria2-next session behavior.",RF12
prune,GUI application shells,pending,prune,"aMule GUI/web/text client; eMule Windows UI; MLDonkey UI surfaces","aria2-next CLI/RPC","Prune GUI-only and daemon-shell behavior that does not implement ED2K wire interoperability.","No UI compatibility is promised beyond aria2-next CLI/RPC and Motrix Next integration fields.",RF2
prune,Obsolete social surfaces,pending,prune,"aMule/eMule chat, comments, preview, collection UI, shared-directory browsing UI","No required aria2-next owner model","Prune obsolete social or UI-only packet surfaces unless required for safe ignore/reject behavior.","File transfer, search, sharing, and status remain the compatibility target.",RF2
